"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-63,-442,0,0,-576.252,0,-16,30,0,0,0
1619.841,-61,-442,0,0,-576.252,0.047332,8,30,0,0,0
3239.731,-60,-442,0,0,-576.252,0.047332,32,30,0,0,0
4859.671,-57,-442,0,0,-576.252,0.09861,57,30,0,0,0
6479.663,-55,-442,0,0,-576.252,0.149652,81,30,0,0,0
8099.706,-54,-442,0,0,-576.252,0.200401,103,30,0,0,0
9719.799,-51,-442,0,0,-576.252,0.251542,122,30,0,0,0
11339.94,-47,-442,0,0,-576.252,0.353397,170,30,0,0,0
12960.14,-47,-442,0,0,-576.252,0.404456,183,30,0,0,0
16200.68,-44,-442,0,0,-576.252,0.5068761,202,30,0,0,0
19441.43,-44,-442,0,0,-576.252,0.6090921,205,30,0,0,0
22682.38,-44,-442,0,0,-576.252,0.7109541,191,30,0,0,0
25923.54,-48,-442,0,0,-576.252,0.7616861,160,30,0,0,0
29164.9,-51,-442,0,0,-576.252,0.8639441,115,30,0,0,0
32406.46,-56,-442,0,0,-576.252,0.9659011,60,30,0,0,0
34027.32,-59,-442,0,0,-576.252,1.016608,36,30,0,0,0
35648.23,-60,-442,0,0,-576.252,1.067779,12,30,0,0,0
35648.23,-62,-442,0,0,-576.252,1.118538,-11,30,0,0,0
37269.2,-63,-442,0,0,-576.252,1.169585,-35,30,0,0,0
38890.21,-66,-442,0,0,-576.252,1.220747,-57,30,0,0,0
40511.27,-67,-442,0,0,-576.252,1.220747,-78,30,0,0,0
43753.55,-72,-442,0,0,-576.252,1.374169,-127,30,0,0,0
45374.76,-73,-442,0,0,-576.252,1.374169,-141,30,0,0,0
46996.03,-74,-442,0,0,-576.252,1.424638,-152,30,0,0,0
48617.34,-74,-442,0,0,-576.252,1.475734,-161,30,0,0,0
50238.71,-75,-442,0,0,-576.252,1.526936,-168,30,0,0,0
51860.13,-75,-442,0,0,-576.252,1.577629,-172,30,0,0,0
53481.6,-75,-442,0,0,-576.252,1.628692,-173,30,0,0,0
55103.12,-75,-442,0,0,-576.252,1.679906,-172,30,0,0,0
56724.7,-74,-442,0,0,-576.252,1.730748,-156,30,0,0,0
58346.32,-72,-442,0,0,-576.252,1.832904,-123,30,0,0,0
61589.72,-68,-442,0,0,-576.252,1.93537,-79,30,0,0,0
63211.5,-67,-442,0,0,-576.252,1.985789,-59,30,0,0,0
64833.33,-64,-442,0,0,-576.252,1.985789,-36,30,0,0,0
66455.2,-63,-442,0,0,-576.252,2.036788,-12,30,0,0,0
68077.13,-61,-442,0,0,-576.252,2.087806,11,30,0,0,0
69699.12,-59,-442,0,0,-576.252,2.138964,33,30,0,0,0
71321.18,-57,-442,0,0,-576.252,2.240849,59,30,-7,-18,0
72943.26,-55,-442,0,0,-576.252,2.240849,81,28,-58,-69,0
74565.38,-50,-442,0,0,-576.252,2.34282,129,22,-120,-108,0
76187.56,-49,-442,0,0,-576.252,2.393844,142,19,-80,-69,0
77809.79,-48,-442,0,0,-576.252,2.393844,155,14,-109,-120,0
79432.07,-47,-442,0,0,-576.252,2.445193,164,7,-160,-171,0
81054.4,-45,-442,0,0,-576.252,2.496063,167,-1,-131,-120,0
82676.78,-44,-442,0,0,-576.252,2.547134,168,-8,-160,-171,0
84299.22,-44,-442,0,0,-576.252,2.598189,173,-15,-131,-120,0
85921.7,-44,-442,0,0,-576.252,2.648951,173,-22,-160,-171,0
87544.24,-44,-442,0,0,-576.252,2.700025,167,-30,-131,-120,0
89166.83,-44,-442,0,0,-576.252,2.751145,156,-37,-160,-171,0
90789.47,-44,-442,0,0,-576.252,2.801942,145,-45,-131,-120,0
92412.16,-45,-442,0,0,-576.252,2.853046,135,-50,-80,-69,0
94034.9,-47,-442,0,0,-576.252,2.904149,125,-55,-109,-120,0
95657.69,-48,-442,0,0,-576.252,2.955015,111,-60,-80,-69,0
97280.53,-49,-442,0,0,-576.252,3.006046,93,-64,-109,-120,0
98903.42,-50,-442,0,0,-576.252,3.057263,76,-70,-80,-69,0
100526.4,-51,-442,0,0,-576.252,3.107923,60,-72,-29,-18,0
102149.4,-54,-442,0,0,-576.252,3.158993,44,-74,-58,-69,0
103772.4,-59,-442,0,0,-576.252,3.210172,-6,-77,-29,-18,0
105395.5,-60,-442,0,0,-576.252,3.261059,-23,-77,22,33,0
107018.6,-62,-442,0,0,-576.252,3.312032,-36,-76,-7,-18,0
108641.8,-64,-442,0,0,-576.252,3.36338,-48,-76,22,33,0
110265.1,-67,-442,0,0,-576.252,3.413943,-60,-74,73,84,0
111888.4,-68,-442,0,0,-576.252,3.465244,-72,-70,44,33,0
113511.8,-69,-442,0,0,-576.252,3.516223,-82,-68,73,84,0
115135.2,-74,-442,0,0,-576.252,3.567043,-100,-64,44,33,0
116758.6,-75,-442,0,0,-576.252,3.618158,-103,-62,73,84,0
118382.1,-75,-442,0,0,-576.252,3.669236,-100,-57,124,135,0
120005.7,-74,-442,0,0,-576.252,3.720129,-93,-51,95,84,0
121629.3,-75,-442,0,0,-576.252,3.771176,-88,-47,44,33,0
123252.9,-76,-442,0,0,-576.252,3.822324,-85,-45,73,84,0
124876.6,-76,-442,0,0,-576.252,3.873166,-78,-41,44,33,0
126500.4,-75,-442,0,0,-576.252,3.924211,-66,-39,73,84,0
128124.2,-73,-442,0,0,-576.252,3.975377,-30,-35,44,33,0
129748.1,-72,-442,0,0,-576.252,4.026057,-20,-34,-6,-18,0
131372,-69,-442,0,0,-576.252,4.077138,-8,-34,22,33,0
