"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-103,-442,0,0,-576.252,0,-10,30,0,0,0
6040.28,-98,-442,0,0,-576.252,0.098518,-116,30,0,0,0
10067.39,-92,-442,0,0,-576.252,0.201137,-190,30,0,0,0
14094.7,-97,-442,0,0,-576.252,0.354146,-221,30,0,0,0
16108.43,-98,-442,0,0,-576.252,0.404643,-217,30,0,0,0
20136.04,-109,-442,0,0,-576.252,0.507094,-177,30,0,0,0
22149.93,-111,-442,0,0,-576.252,0.557887,-150,30,0,0,0
28191.89,-122,-442,0,0,-576.252,0.660163,-55,30,0,0,0
32220.12,-129,-442,0,0,-576.252,0.76209,50,30,0,0,0
36248.55,-137,-442,0,0,-576.252,0.915079,153,30,0,0,0
42291.58,-137,-442,0,0,-576.252,1.016682,220,30,0,0,0
42291.58,-139,-442,0,0,-576.252,1.067742,234,30,0,0,0
44306.03,-136,-442,0,0,-576.252,1.118942,240,30,0,0,0
46320.52,-134,-442,0,0,-576.252,1.118942,241,30,0,0,0
48335.07,-131,-442,0,0,-576.252,1.169807,238,30,0,0,0
50349.67,-130,-442,0,0,-576.252,1.220749,228,30,0,0,0
52364.32,-129,-442,0,0,-576.252,1.272032,214,30,0,0,0
54379.02,-127,-442,0,0,-576.252,1.322945,192,30,0,0,0
56393.77,-119,-442,0,0,-576.252,1.373813,166,30,0,0,0
58408.57,-112,-442,0,0,-576.252,1.475831,68,30,0,0,0
64453.29,-100,-442,0,0,-576.252,1.578339,-37,30,0,0,0
68483.35,-98,-442,0,0,-576.252,1.731388,-134,30,0,0,0
72513.62,-94,-442,0,0,-576.252,1.833209,-192,30,0,0,0
78559.42,-99,-442,0,0,-576.252,1.935379,-210,31,37,48,0
80574.78,-103,-442,0,0,-576.252,1.98595,-199,34,85,96,0
84605.65,-111,-442,0,0,-576.252,2.087924,-134,50,199,210,0
86621.16,-115,-442,0,0,-576.252,2.13898,-91,61,203,192,0
90652.33,-125,-442,0,0,-576.252,2.292695,30,77,83,72,0
94683.71,-135,-442,0,0,-576.252,2.394328,130,80,-31,-42,0
100731.2,-140,-442,0,0,-576.252,2.496593,192,69,-110,-99,0
104763.1,-141,-442,0,0,-576.252,2.598045,182,57,-160,-171,0
106779.1,-136,-442,0,0,-576.252,2.649201,168,49,-158,-147,0
110811.3,-137,-442,0,0,-576.252,2.751488,122,36,-119,-129,0
112827.4,-133,-442,0,0,-576.252,2.802282,92,30,-97,-87,0
116859.9,-122,-442,0,0,-576.252,2.956014,26,23,-82,-93,0
122909.1,-105,-442,0,0,-576.252,3.057411,-55,11,-62,-51,0
132992,-97,-442,0,0,-576.252,3.312457,-125,17,68,57,0
137025.5,-94,-442,0,0,-576.252,3.414799,-93,23,94,105,0
141059.2,-103,-442,0,0,-576.252,3.567715,-41,33,26,27,0
147110.2,-104,-442,0,0,-576.252,3.669198,26,38,28,39,0
151144.4,-121,-442,0,0,-576.252,3.771596,85,43,-6,-18,0
155178.9,-133,-442,0,0,-576.252,3.924654,123,35,-127,-126,0
161230.9,-135,-442,0,0,-576.252,4.026809,111,23,-129,-117,0
161230.9,-136,-442,0,0,-576.252,4.077125,98,18,-81,-96,0
167283.4,-142,-442,0,0,-576.252,4.179847,70,6,-62,-51,0
171318.7,-137,-442,0,0,-576.252,4.281728,23,-1,-46,-36,0
175354.1,-124,-442,0,0,-576.252,4.434789,-11,-2,-27,-15,0
181407.7,-119,-442,0,0,-576.252,4.536734,-38,-3,-11,0,0
185443.7,-105,-442,0,0,-576.252,4.689754,-55,2,32,21,0
191498,-98,-442,0,0,-576.252,4.791525,-43,7,64,53,0
195534.5,-93,-442,0,0,-576.252,4.893838,-19,13,46,35,0
199571.2,-92,-442,0,0,-576.252,5.046909,13,13,15,26,0
205626.6,-103,-442,0,0,-576.252,5.148859,41,18,13,2,0
209663.8,-110,-442,0,0,-576.252,5.251191,64,14,-54,-43,0
213701.2,-123,-442,0,0,-576.252,5.404016,69,7,-33,-34,0
219757.7,-134,-442,0,0,-576.252,5.505934,54,1,-38,-49,0
223795.6,-135,-442,0,0,-576.252,5.607899,29,-5,-56,-67,0
227833.7,-141,-442,0,0,-576.252,5.760537,7,-9,21,14,0
233891.2,-134,-442,0,0,-576.252,5.863062,-13,-9,10,-1,0
237929.8,-128,-442,0,0,-576.252,5.964628,-19,-10,-11,-22,0
241968.7,-119,-442,0,0,-576.252,6.118043,-19,-7,73,62,0
248027.3,-103,-442,0,0,-576.252,6.22,-14,-6,-8,2,0
258126,-94,-442,0,0,-576.252,6.475316,29,-2,-13,-1,0
262165.8,-94,-442,0,0,-576.252,6.577276,43,-2,-42,-52,0
266205.9,-103,-442,0,0,-576.252,6.730079,55,-7,-59,-64,0
272266.4,-107,-442,0,0,-576.252,6.832119,38,-12,-64,-52,0
276306.9,-122,-442,0,0,-576.252,6.934301,30,-18,-42,-31,0
280347.7,-129,-442,0,0,-576.252,7.087316,10,-17,-5,-16,0
286409.2,-137,-442,0,0,-576.252,7.189274,2,-22,-6,5,0
290450.5,-142,-442,0,0,-576.252,7.291219,-7,-21,8,20,0
294492,-134,-442,0,0,-576.252,7.444208,-8,-19,30,29,0
300554.6,-131,-442,0,0,-576.252,7.546523,-2,-18,21,11,0
304596.6,-118,-442,0,0,-576.252,7.648306,8,-17,3,-7,0
308638.8,-109,-442,0,0,-576.252,7.801342,21,-21,-18,-7,0
312681.2,-103,-442,0,0,-576.252,7.90334,29,-20,0,0,0
316723.9,-92,-442,0,0,-576.252,8.00551,31,-20,0,0,0
320766.8,-96,-442,0,0,-576.252,8.158513,37,-20,0,0,0
326831.6,-99,-442,0,0,-576.252,8.26031,32,-20,0,0,0
330875,-107,-442,0,0,-576.252,8.361908,25,-20,0,0,0
334918.6,-121,-442,0,0,-576.252,8.514931,19,-20,0,0,0
340984.5,-127,-442,0,0,-576.252,8.6176,7,-20,0,0,0
345028.6,-137,-442,0,0,-576.252,8.770524,0,-20,0,0,0
349072.9,-139,-442,0,0,-576.252,8.87245,-4,-20,0,0,0
355139.8,-136,-442,0,0,-576.252,8.974549,-4,-20,0,0,0
359184.7,-131,-442,0,0,-576.252,9.127508,1,-20,0,0,0
365252.4,-119,-442,0,0,-576.252,9.229709,8,-20,0,0,0
369297.8,-111,-442,0,0,-576.252,9.331565,19,-20,0,0,0
373343.3,-100,-442,0,0,-576.252,9.484139,26,-20,0,0,0
379412.1,-94,-442,0,0,-576.252,9.586539,33,-20,0,0,0
383458.1,-94,-442,0,0,-576.252,9.688767,36,-20,0,0,0
387504.4,-98,-442,0,0,-576.252,9.84224,30,-20,0,0,0
393574.2,-107,-442,0,0,-576.252,9.943667,25,-20,0,0,0
397621,-117,-442,0,0,-576.252,10.04521,16,-20,0,0,0
401668,-128,-442,0,0,-576.252,10.19865,5,-20,0,0,0
407738.9,-136,-442,0,0,-576.252,10.30082,0,-20,0,0,0
411786.4,-139,-442,0,0,-576.252,10.40273,-4,-20,0,0,0
415834.1,-139,-442,0,0,-576.252,10.55576,-4,-20,0,0,0
421906.1,-131,-442,0,0,-576.252,10.6579,4,-20,0,0,0
425954.3,-122,-442,0,0,-576.252,10.81071,11,-20,0,0,0
430002.8,-112,-442,0,0,-576.252,10.91296,20,-20,0,0,0
436075.8,-102,-442,0,0,-576.252,11.01441,29,-20,0,0,0
440124.7,-97,-442,0,0,-576.252,11.16791,33,-20,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
