"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
96394.48,-64,-442,0,0,-576.252,2.703848,-142,-94,0,0,0
98180.97,-64,-442,0,0,-576.252,2.754526,-156,-94,0,0,0
99967.51,-64,-442,0,0,-576.252,2.85677,-176,-94,1,12,0
103540.8,-66,-442,0,0,-576.252,2.907594,-177,-93,43,54,0
105327.4,-67,-442,0,0,-576.252,2.958741,-173,-90,88,99,0
108901,-70,-442,0,0,-576.252,3.060974,-136,-74,143,132,0
110687.8,-74,-442,0,0,-576.252,3.111315,-111,-69,97,87,0
112474.7,-76,-442,0,0,-576.252,3.162319,-82,-66,86,96,0
116048.6,-84,-442,0,0,-576.252,3.264828,-12,-56,41,30,0
117835.7,-87,-442,0,0,-576.252,3.315476,17,-55,-1,-12,0
121409.9,-96,-442,0,0,-576.252,3.417868,87,-56,-16,-27,0
123197.1,-97,-442,0,0,-576.252,3.468401,109,-58,-61,-72,0
124984.3,-99,-442,0,0,-576.252,3.519835,128,-61,-103,-114,0
128559,-102,-442,0,0,-576.252,3.621977,153,-73,-112,-123,0
130346.4,-102,-442,0,0,-576.252,3.672747,150,-79,-154,-165,0
132133.8,-102,-442,0,0,-576.252,3.7236,147,-86,-176,-165,0
133921.3,-102,-442,0,0,-576.252,3.774427,143,-93,-130,-120,0
137496.5,-99,-442,0,0,-576.252,3.876882,119,-105,-122,-111,0
139284.1,-97,-442,0,0,-576.252,3.927508,104,-110,-88,-99,0
139284.1,-96,-442,0,0,-576.252,3.978783,91,-115,-133,-126,0
144647.4,-88,-442,0,0,-576.252,4.08097,50,-124,-43,-54,0
146435.3,-86,-442,0,0,-576.252,4.131818,29,-127,-80,-69,0
146435.3,-82,-442,0,0,-576.252,4.182591,8,-129,-38,-27,0
151799.1,-74,-442,0,0,-576.252,4.285245,-29,-130,-30,-18,0
151799.1,-70,-442,0,0,-576.252,4.33566,-42,-130,19,30,0
153587.2,-68,-442,0,0,-576.252,4.386687,-54,-128,61,66,0
157163.5,-66,-442,0,0,-576.252,4.489197,-76,-123,65,54,0
158951.7,-63,-442,0,0,-576.252,4.539704,-78,-121,23,24,0
160740,-61,-442,0,0,-576.252,4.590913,-72,-120,61,72,0
164316.6,-63,-442,0,0,-576.252,4.693073,-64,-110,71,60,0
166105,-63,-442,0,0,-576.252,4.743953,-56,-107,26,21,0
167893.5,-64,-442,0,0,-576.252,4.743953,-43,-106,58,69,0
171470.6,-70,-442,0,0,-576.252,4.897321,-20,-101,61,66,0
173259.2,-73,-442,0,0,-576.252,4.897321,-7,-99,29,18,0
175047.9,-76,-442,0,0,-576.252,4.94778,7,-99,-22,-33,0
178625.4,-85,-442,0,0,-576.252,5.101154,36,-99,-22,-33,0
180414.2,-87,-442,0,0,-576.252,5.101154,45,-100,7,18,0
182203.1,-91,-442,0,0,-576.252,5.151851,55,-100,-22,-33,0
185781,-97,-442,0,0,-576.252,5.253873,70,-106,-46,-36,0
187570,-99,-442,0,0,-576.252,5.304714,75,-108,-64,-75,0
191148.3,-103,-442,0,0,-576.252,5.458145,67,-115,-76,-81,0
192937.4,-103,-442,0,0,-576.252,5.458145,64,-118,-44,-33,0
194726.7,-103,-442,0,0,-576.252,5.509149,64,-121,-73,-84,0
198305.3,-102,-442,0,0,-576.252,5.662513,43,-126,-73,-84,0
200094.7,-100,-442,0,0,-576.252,5.662513,36,-130,-44,-33,0
201884.1,-98,-442,0,0,-576.252,5.713086,30,-131,7,18,0
205463.2,-92,-442,0,0,-576.252,5.815206,12,-133,-70,-81,0
207252.8,-88,-442,0,0,-576.252,5.865881,2,-136,-53,-42,0
209042.4,-85,-442,0,0,-576.252,5.917016,-4,-137,-8,3,0
212621.8,-79,-442,0,0,-576.252,6.019512,-18,-138,-2,9,0
214411.6,-74,-442,0,0,-576.252,6.06987,-24,-137,43,54,0
216201.5,-72,-442,0,0,-576.252,6.121157,-26,-135,50,39,0
219781.3,-67,-442,0,0,-576.252,6.223336,-32,-135,-5,6,0
221571.3,-64,-442,0,0,-576.252,6.274197,-26,-134,40,51,0
225151.5,-63,-442,0,0,-576.252,6.376285,-20,-130,-16,-27,0
226941.6,-63,-442,0,0,-576.252,6.427147,-16,-131,-2,9,0
230522.1,-66,-442,0,0,-576.252,6.580698,6,-126,26,15,0
232312.4,-67,-442,0,0,-576.252,6.580698,8,-126,-22,-33,0
235893.1,-74,-442,0,0,-576.252,6.733216,30,-128,-33,-21,0
237683.6,-76,-442,0,0,-576.252,6.784337,35,-128,13,12,0
243055.3,-85,-442,0,0,-576.252,6.886843,45,-132,-77,-66,0
243055.3,-87,-442,0,0,-576.252,6.937051,49,-134,-35,-24,0
248427.4,-96,-442,0,0,-576.252,7.039611,47,-136,-46,-57,0
250218.2,-97,-442,0,0,-576.252,7.090116,44,-139,-77,-66,0
253800,-102,-442,0,0,-576.252,7.192775,38,-141,-1,-12,0
255591,-103,-442,0,0,-576.252,7.243105,33,-142,-46,-57,0
257382,-104,-442,0,0,-576.252,7.294161,26,-145,-77,-66,0
260964.2,-103,-442,0,0,-576.252,7.396578,19,-148,2,-9,0
262755.4,-103,-442,0,0,-576.252,7.447135,13,-149,-26,-15,0
262755.4,-100,-442,0,0,-576.252,7.498398,5,-149,14,3,0
268129.2,-94,-442,0,0,-576.252,7.600594,-2,-149,8,-3,0
269920.6,-93,-442,0,0,-576.252,7.651516,-4,-150,-27,-15,0
273503.5,-84,-442,0,0,-576.252,7.75349,-10,-151,-14,-3,0
275295,-81,-442,0,0,-576.252,7.804484,-10,-151,32,42,0
278878.2,-73,-442,0,0,-576.252,7.906206,-13,-147,-6,-18,0
280669.9,-70,-442,0,0,-576.252,7.957448,-8,-147,-16,-6,0
282461.6,-68,-442,0,0,-576.252,8.008281,-2,-147,32,42,0
286045.3,-63,-442,0,0,-576.252,8.11092,4,-143,-4,-15,0
287837.1,-63,-442,0,0,-576.252,8.161273,10,-144,-17,-6,0
289629.1,-64,-442,0,0,-576.252,8.212238,13,-144,11,0,0
293213.1,-63,-442,0,0,-576.252,8.314777,26,-144,-1,-12,0
295005.2,-64,-442,0,0,-576.252,8.365284,30,-145,-20,-9,0
298589.5,-72,-442,0,0,-576.252,8.46765,35,-147,-58,-69,0
300381.8,-73,-442,0,0,-576.252,8.518362,35,-150,-67,-57,0
303966.4,-81,-442,0,0,-576.252,8.620759,33,-152,-13,-24,0
